node_id,label,PathwayName,identifiers,type,PathwayID,GeneName,GeneID
11213,IRAK3,,IRAK3,gene,,IRAK3,11213
481619,SHB,,481619,gene,,SHB,481619
51804,SIX4,,ENSG00000100625,gene,,SIX4,51804
23636,NUP62,,NUP62,gene,,NUP62,23636
3293,HSD17B3,,ENSG00000130948,gene,,HSD17B3,3293
27022,FOXD3,,ENSG00000187140,gene,,FOXD3,27022
WP704,Methylation pathways,Methylation pathways,WP704,pathway,WP704,,
WP4559,Interactions between immune cells and microRNAs in tumor microenvironment,Interactions between immune cells and microRNAs in tumor microenvironment,WP4559,pathway,WP4559,,
WP912,Notch signaling pathway,Notch signaling pathway,WP912,pathway,WP912,,
WP3940,One-carbon metabolism and related pathways,One-carbon metabolism and related pathways,WP3940,pathway,WP3940,,
WP2253,Pilocytic astrocytoma,Pilocytic astrocytoma,WP2253,pathway,WP2253,,
2033,EP300,,EP300,gene,,EP300,2033
8817,FGF18,,ENSG00000156427,gene,,FGF18,8817
57617,VPS18,,ENSG00000104142,gene,,VPS18,57617
3490,IGFBP7,,IGFBP7,gene,,IGFBP7,3490
64399,HHIP,,HHIP,gene,,HHIP,64399
8807,IL18RAP,,ENSG00000115607,gene,,IL18RAP,8807
7341,SUMO1,,ENSG00000116030,gene,,SUMO1,7341
999,CDH1,,ENSG00000039068,gene,,CDH1,999
6809,STX3,,ENSG00000166900,gene,,STX3,6809
3620,IDO1,,IDO1,gene,,IDO1,3620
2637,GBX2,,ENSG00000168505,gene,,GBX2,2637
423085,PTPN5,,423085,gene,,PTPN5,423085
29988,SLC2A8,,SLC2A8,gene,,SLC2A8,29988
2956,MSH6,,ENSG00000116062,gene,,MSH6,2956
100630695,TERT,,100630695,gene,,TERT,100630695
5718,PSMD12,,ENSG00000197170,gene,,PSMD12,5718
WP4562,Canonical NF-kB pathway,Canonical NF-kB pathway,WP4562,pathway,WP4562,,
WP4884,Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex,Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex,WP4884,pathway,WP4884,,
19,ABCA1,,ENSG00000165029,gene,,ABCA1,19
5534,PPP3R1,,ENSG00000221823,gene,,PPP3R1,5534
2917,GRM7,,ENSG00000196277,gene,,GRM7,2917
1796,DOK1,,ENSG00000115325,gene,,DOK1,1796
505642,GSTO2,,505642,gene,,GSTO2,505642
83541,FAM110A,,ENSG00000125898,gene,,FAM110A,83541
6502,SKP2,,SKP2,gene,,SKP2,6502
366,AQP9,,ENSG00000103569,gene,,AQP9,366
57515,SERINC1,,SERINC1,gene,,SERINC1,57515
2798,GNRHR,,GNRHR,gene,,GNRHR,2798
9241,NOG,,NOG,gene,,NOG,9241
29882,ANAPC2,,ANAPC2,gene,,ANAPC2,29882
146378,C16orf92,,ENSG00000167194,gene,,C16orf92,146378
6139,RPL17,,RPL17,gene,,RPL17,6139
WP4228,Vitamin B6-dependent and responsive disorders,Vitamin B6-dependent and responsive disorders,WP4228,pathway,WP4228,,
80224,NUBPL,,ENSG00000151413,gene,,NUBPL,80224
27229,TUBGCP4,,TUBGCP4,gene,,TUBGCP4,27229
83998,REG4,,REG4,gene,,REG4,83998
3105,HLA-A,,HLA-A,gene,,HLA-A,3105
5664,PSEN2,,PSEN2,gene,,PSEN2,5664
839,CASP6,,CASP6,gene,,CASP6,839
4628,MYH10,,MYH10,gene,,MYH10,4628
WP2435,Quercetin and Nf-kB / AP-1 induced apoptosis,Quercetin and Nf-kB / AP-1 induced apoptosis,WP2435,pathway,WP2435,,
4210,MEFV,,MEFV,gene,,MEFV,4210
5627,PROS1,,ENSG00000184500,gene,,PROS1,5627
843,CASP10,,ENSG00000003400,gene,,CASP10,843
100513441,ATF2,,100513441,gene,,ATF2,100513441
84818,IL17RC,,IL17RC,gene,,IL17RC,84818
85478,CCDC65,,CCDC65,gene,,CCDC65,85478
1843,DUSP1,,ENSG00000120129,gene,,DUSP1,1843
6137,RPL13,,ENSG00000167526,gene,,RPL13,6137
7226,TRPM2,,ENSG00000142185,gene,,TRPM2,7226
10584,COLEC10,,ENSG00000184374,gene,,COLEC10,10584
56603,CYP26B1,,ENSG00000003137,gene,,CYP26B1,56603
5689,PSMB1,,ENSG00000008018,gene,,PSMB1,5689
282966,C10orf53,,ENSG00000178645,gene,,C10orf53,282966
100085556,ITGA1,,100085556,gene,,ITGA1,100085556
WP117,"GPCRs, other","GPCRs, other",WP117,pathway,WP117,,
WP702,Metapathway biotransformation Phase I and II,Metapathway biotransformation Phase I and II,WP702,pathway,WP702,,
57514,ARHGAP31,,ENSG00000031081,gene,,ARHGAP31,57514
361,AQP4,,ENSG00000171885,gene,,AQP4,361
81025,GJA9,,ENSG00000131233,gene,,GJA9,81025
27152,INTU,,INTU,gene,,INTU,27152
9517,SPTLC2,,ENSG00000100596,gene,,SPTLC2,9517
6341,SCO1,,SCO1,gene,,SCO1,6341
WP2880,Glucocorticoid receptor pathway,Glucocorticoid receptor pathway,WP2880,pathway,WP2880,,
9612,NCOR2,,ENSG00000196498,gene,,NCOR2,9612
406953,MIR18A,,MIR18A,gene,,MIR18A,406953
8131,NPRL3,,ENSG00000103148,gene,,NPRL3,8131
2850,GPR27,,ENSG00000170837,gene,,GPR27,2850
417668,AKAP1,,417668,gene,,AKAP1,417668
4326,MMP17,,MMP17,gene,,MMP17,4326
113878,DTX2,,ENSG00000091073,gene,,DTX2,113878
11280,SCN11A,,SCN11A,gene,,SCN11A,11280
WP4231,CRD motif and sFRPs influence on Wnt signaling,CRD motif and sFRPs influence on Wnt signaling,WP4231,pathway,WP4231,,
7855,FZD5,,ENSG00000163251,gene,,FZD5,7855
27087,B3GAT1,,B3GAT1,gene,,B3GAT1,27087
419097,LRP6,,419097,gene,,LRP6,419097
481133,CYP27B1,,481133,gene,,CYP27B1,481133
7173,TPO,,ENSG00000115705,gene,,TPO,7173
84867,PTPN5,,PTPN5,gene,,PTPN5,84867
4987,OPRL1,,ENSG00000125510,gene,,OPRL1,4987
2187,FANCB,,FANCB,gene,,FANCB,2187
4535,MT-ND1,,MT-ND1,gene,,MT-ND1,4535
653509,SFTPA1,,ENSG00000122852,gene,,SFTPA1,653509
3032,HADHB,,ENSG00000138029,gene,,HADHB,3032
29109,FHOD1,,FHOD1,gene,,FHOD1,29109
101116273,GSTO2,,101116273,gene,,GSTO2,101116273
451169,SPI1,,451169,gene,,SPI1,451169
54880,BCOR,,ENSG00000183337,gene,,BCOR,54880
9722,NOS1AP,,NOS1AP,gene,,NOS1AP,9722
1956,EGFR,,EGFR,gene,,EGFR,1956
567,B2M,,B2M,gene,,B2M,567
26580,BSCL2,,ENSG00000168000,gene,,BSCL2,26580
7296,TXNRD1,,TXNRD1,gene,,TXNRD1,7296
4891,SLC11A2,,SLC11A2,gene,,SLC11A2,4891
4886,NPY1R,,ENSG00000164128,gene,,NPY1R,4886
280636,SELENOH,,SELENOH,gene,,SELENOH,280636
406922,MIR133A1,,MIR133A1,gene,,MIR133A1,406922
10158,PDZK1IP1,,ENSG00000162366,gene,,PDZK1IP1,10158
144455,E2F7,,E2F7,gene,,E2F7,144455
6714,SRC,,SRC,gene,,SRC,6714
344167,FOXI3,,ENSG00000214336,gene,,FOXI3,344167
84733,CBX2,,ENSG00000173894,gene,,CBX2,84733
8611,PLPP1,,PLPP1,gene,,PLPP1,8611
127343,DMBX1,,ENSG00000197587,gene,,DMBX1,127343
100077049,GNB1,,100077049,gene,,GNB1,100077049
23345,SYNE1,,SYNE1,gene,,SYNE1,23345
WP732,Serotonin receptor 2 and ELK-SRF/GATA4 signaling,Serotonin receptor 2 and ELK-SRF/GATA4 signaling,WP732,pathway,WP732,,
8458,TTF2,,ENSG00000116830,gene,,TTF2,8458
100512949,WNT9A,,100512949,gene,,WNT9A,100512949
728498,GOLGA8H,,GOLGA8H,gene,,GOLGA8H,728498
7114,TMSB4X,,ENSG00000205542,gene,,TMSB4X,7114
84168,ANTXR1,,ENSG00000169604,gene,,ANTXR1,84168
10426,TUBGCP3,,TUBGCP3,gene,,TUBGCP3,10426
5442,POLRMT,,POLRMT,gene,,POLRMT,5442
2146,EZH2,,EZH2,gene,,EZH2,2146
57654,UVSSA,,ENSG00000163945,gene,,UVSSA,57654
482736,ZYX,,482736,gene,,ZYX,482736
9025,RNF8,,RNF8,gene,,RNF8,9025
150274,HSCB,,HSCB,gene,,HSCB,150274
9453,GGPS1,,GGPS1,gene,,GGPS1,9453
122011,CSNK1A1L,,ENSG00000180138,gene,,CSNK1A1L,122011
WP3971,OSX and miRNAs in tooth development,OSX and miRNAs in tooth development,WP3971,pathway,WP3971,,
182,JAG1,,ENSG00000101384,gene,,JAG1,182
WP4856,Intracellular trafficking proteins involved in CMT neuropathy,Intracellular trafficking proteins involved in CMT neuropathy,WP4856,pathway,WP4856,,
27190,IL17B,,IL17B,gene,,IL17B,27190
80070,ADAMTS20,,ADAMTS20,gene,,ADAMTS20,80070
55289,ACOXL,,ENSG00000153093,gene,,ACOXL,55289
3313,HSPA9,,ENSG00000113013,gene,,HSPA9,3313
8243,SMC1A,,SMC1A,gene,,SMC1A,8243
157570,ESCO2,,ESCO2,gene,,ESCO2,157570
55636,CHD7,,CHD7,gene,,CHD7,55636
6585,SLIT1,,SLIT1,gene,,SLIT1,6585
607316,LTC4S,,607316,gene,,LTC4S,607316
10716,TBR1,,ENSG00000136535,gene,,TBR1,10716
57819,LSM2,,LSM2,gene,,LSM2,57819
71,ACTG1,,ACTG1,gene,,ACTG1,71
317,APAF1,,APAF1,gene,,APAF1,317
55844,PPP2R2D,,PPP2R2D,gene,,PPP2R2D,55844
132158,GLYCTK,,GLYCTK,gene,,GLYCTK,132158
100079304,CACNG1,,100079304,gene,,CACNG1,100079304
WP4194,Hormonal control of pubertal growth spurt,Hormonal control of pubertal growth spurt,WP4194,pathway,WP4194,,
1852,DUSP9,,DUSP9,gene,,DUSP9,1852
8831,SYNGAP1,,SYNGAP1,gene,,SYNGAP1,8831
396833,MAPK6,,396833,gene,,MAPK6,396833
10257,ABCC4,,ENSG00000125257,gene,,ABCC4,10257
2184,FAH,,FAH,gene,,FAH,2184
609368,PNPLA3,,609368,gene,,PNPLA3,609368
2968,GTF2H4,,GTF2H4,gene,,GTF2H4,2968
54869,EPS8L1,,EPS8L1,gene,,EPS8L1,54869
2906,GRIN2D,,GRIN2D,gene,,GRIN2D,2906
93273,LEMD1,,LEMD1,gene,,LEMD1,93273
8148,TAF15,,ENSG00000270647,gene,,TAF15,8148
8773,SNAP23,,SNAP23,gene,,SNAP23,8773
6814,STXBP3,,STXBP3,gene,,STXBP3,6814
7026,NR2F2,,NR2F2,gene,,NR2F2,7026
424210,STK36,,424210,gene,,STK36,424210
5916,RARG,,ENSG00000172819,gene,,RARG,5916
83479,DDX59,,ENSG00000118197,gene,,DDX59,83479
23011,RAB21,,ENSG00000080371,gene,,RAB21,23011
7481,WNT11,,ENSG00000085741,gene,,WNT11,7481
81616,ACSBG2,,ACSBG2,gene,,ACSBG2,81616
55230,USP40,,USP40,gene,,USP40,55230
1951,CELSR3,,CELSR3,gene,,CELSR3,1951
123872,DNAAF1,,DNAAF1,gene,,DNAAF1,123872
151742,PPM1L,,ENSG00000163590,gene,,PPM1L,151742
259,AMBP,,ENSG00000106927,gene,,AMBP,259
170572,HTR3C,,ENSG00000178084,gene,,HTR3C,170572
8772,FADD,,FADD,gene,,FADD,8772
5494,PPM1A,,ENSG00000100614,gene,,PPM1A,5494
4713,NDUFB7,,ENSG00000099795,gene,,NDUFB7,4713
607662,HDAC4,,607662,gene,,HDAC4,607662
54101,RIPK4,,ENSG00000183421,gene,,RIPK4,54101
478227,GNAI1,,478227,gene,,GNAI1,478227
2587,GALR1,,GALR1,gene,,GALR1,2587
64132,XYLT2,,ENSG00000015532,gene,,XYLT2,64132
23774,BRD1,,ENSG00000100425,gene,,BRD1,23774
29920,PYCR2,,PYCR2,gene,,PYCR2,29920
333932,H3C13,,ENSG00000203852,gene,,H3C13,333932
6772,STAT1,,ENSG00000115415,gene,,STAT1,6772
1050,CEBPA,,ENSG00000245848,gene,,CEBPA,1050
3002,GZMB,,ENSG00000100453,gene,,GZMB,3002
1345,COX6C,,COX6C,gene,,COX6C,1345
9486,CHST10,,ENSG00000115526,gene,,CHST10,9486
10606,PAICS,,PAICS,gene,,PAICS,10606
554,AVPR2,,ENSG00000126895,gene,,AVPR2,554
51126,NAA20,,NAA20,gene,,NAA20,51126
100152368,EGLN3,,100152368,gene,,EGLN3,100152368
100516268,WNT5B,,100516268,gene,,WNT5B,100516268
100622336,CSF3R,,100622336,gene,,CSF3R,100622336
27178,IL37,,IL37,gene,,IL37,27178
100081473,AKT1,,100081473,gene,,AKT1,100081473
3481,IGF2,,IGF2,gene,,IGF2,3481
407052,MIR95,,ENSG00000207807,gene,,MIR95,407052
152217,NCBP2AS2,,NCBP2AS2,gene,,NCBP2AS2,152217
6612,SUMO3,,ENSG00000184900,gene,,SUMO3,6612
8720,MBTPS1,,ENSG00000140943,gene,,MBTPS1,8720
55500,ETNK1,,ETNK1,gene,,ETNK1,55500
92482,BBIP1,,BBIP1,gene,,BBIP1,92482
7033,TFF3,,TFF3,gene,,TFF3,7033
5581,PRKCE,,ENSG00000171132,gene,,PRKCE,5581
317761,C14orf39,,C14orf39,gene,,C14orf39,317761
WP4016,DNA IR-damage and cellular response via ATR,DNA IR-damage and cellular response via ATR,WP4016,pathway,WP4016,,
1371,CPOX,,CPOX,gene,,CPOX,1371
2205,FCER1A,,FCER1A,gene,,FCER1A,2205
1001,CDH3,,CDH3,gene,,CDH3,1001
1676,DFFA,,ENSG00000160049,gene,,DFFA,1676
WP4860,Hijack of ubiquitination by SARS-CoV-2,Hijack of ubiquitination by SARS-CoV-2,WP4860,pathway,WP4860,,
54941,RNF125,,ENSG00000101695,gene,,RNF125,54941
8027,STAM,,STAM,gene,,STAM,8027
WP4838,Regucalcin in proximal tubule epithelial kidney cells,Regucalcin in proximal tubule epithelial kidney cells,WP4838,pathway,WP4838,,
6049,RNF6,,RNF6,gene,,RNF6,6049
110259208,HRAS,,110259208,gene,,HRAS,110259208
84142,ABRAXAS1,,ENSG00000163322,gene,,ABRAXAS1,84142
642643,FAM230E,,FAM230E,gene,,FAM230E,642643
WP5181,Roles of ceramides in development of insulin resistance,Roles of ceramides in development of insulin resistance,WP5181,pathway,WP5181,,
374187,PTCH2,,374187,gene,,PTCH2,374187
54752,FNDC8,,FNDC8,gene,,FNDC8,54752
574453,MIR495,,ENSG00000207743,gene,,MIR495,574453
51510,CHMP5,,CHMP5,gene,,CHMP5,51510
9927,MFN2,,ENSG00000116688,gene,,MFN2,9927
51305,KCNK9,,ENSG00000169427,gene,,KCNK9,51305
1902,LPAR1,,LPAR1,gene,,LPAR1,1902
4121,MAN1A1,,MAN1A1,gene,,MAN1A1,4121
428761,STAP1,,428761,gene,,STAP1,428761
513,ATP5F1D,,ATP5F1D,gene,,ATP5F1D,513
1580,CYP4B1,,ENSG00000142973,gene,,CYP4B1,1580
8468,FKBP6,,FKBP6,gene,,FKBP6,8468
100083629,FH,,100083629,gene,,FH,100083629
55843,ARHGAP15,,ARHGAP15,gene,,ARHGAP15,55843
9045,RPL14,,ENSG00000188846,gene,,RPL14,9045
215,ABCD1,,ABCD1,gene,,ABCD1,215
100858422,FLT3,,100858422,gene,,FLT3,100858422
23541,SEC14L2,,ENSG00000100003,gene,,SEC14L2,23541
100518396,TRAF4,,100518396,gene,,TRAF4,100518396
5711,PSMD5,,ENSG00000095261,gene,,PSMD5,5711
610439,NOTCH3,,610439,gene,,NOTCH3,610439
WP313,Hepatocyte growth factor receptor signaling,Hepatocyte growth factor receptor signaling,WP313,pathway,WP313,,
483258,SFRP4,,483258,gene,,SFRP4,483258
WP4518,"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases","Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases",WP4518,pathway,WP4518,,
27036,SIGLEC7,,SIGLEC7,gene,,SIGLEC7,27036
23237,ARC,,ENSG00000198576,gene,,ARC,23237
100079889,XIAP,,100079889,gene,,XIAP,100079889
252969,NEIL2,,ENSG00000154328,gene,,NEIL2,252969
10577,NPC2,,NPC2,gene,,NPC2,10577
2551,GABPA,,GABPA,gene,,GABPA,2551
5997,RGS2,,ENSG00000116741,gene,,RGS2,5997
WP4686,"Leucine, isoleucine and valine metabolism","Leucine, isoleucine and valine metabolism",WP4686,pathway,WP4686,,
WP688,Catalytic cycle of mammalian flavin-containing monooxygenases (FMOs),Catalytic cycle of mammalian flavin-containing monooxygenases (FMOs),WP688,pathway,WP688,,
406991,MIR21,,MIR21,gene,,MIR21,406991
83853,ROPN1L,,ROPN1L,gene,,ROPN1L,83853
611262,TRADD,,611262,gene,,TRADD,611262
1104,RCC1,,RCC1,gene,,RCC1,1104
683,BST1,,ENSG00000109743,gene,,BST1,683
8911,CACNA1I,,ENSG00000100346,gene,,CACNA1I,8911
79600,TCTN1,,TCTN1,gene,,TCTN1,79600
80117,ARL14,,ENSG00000179674,gene,,ARL14,80117
3973,LHCGR,,ENSG00000138039,gene,,LHCGR,3973
23649,POLA2,,ENSG00000014138,gene,,POLA2,23649
7023,TFAP4,,ENSG00000090447,gene,,TFAP4,7023
WP4342,Vitamins A and D - action mechanisms,Vitamins A and D - action mechanisms,WP4342,pathway,WP4342,,
8822,FGF17,,ENSG00000158815,gene,,FGF17,8822
81846,SBF2,,SBF2,gene,,SBF2,81846
27289,RND1,,RND1,gene,,RND1,27289
10693,CCT6B,,CCT6B,gene,,CCT6B,10693
4919,ROR1,,ROR1,gene,,ROR1,4919
8703,B4GALT3,,ENSG00000158850,gene,,B4GALT3,8703
5569,PKIA,,ENSG00000171033,gene,,PKIA,5569
22918,CD93,,ENSG00000125810,gene,,CD93,22918
1968,EIF2S3,,EIF2S3,gene,,EIF2S3,1968
247,ALOX15B,,ALOX15B,gene,,ALOX15B,247
WP4747,Netrin-UNC5B signaling pathway,Netrin-UNC5B signaling pathway,WP4747,pathway,WP4747,,
51071,DERA,,DERA,gene,,DERA,51071
6443,SGCB,,ENSG00000163069,gene,,SGCB,6443
205564,SENP5,,ENSG00000119231,gene,,SENP5,205564
WP399,Wnt signaling pathway and pluripotency,Wnt signaling pathway and pluripotency,WP399,pathway,WP399,,
4829,NMBR,,ENSG00000135577,gene,,NMBR,4829
26224,FBXL3,,ENSG00000005812,gene,,FBXL3,26224
81575,APOLD1,,APOLD1,gene,,APOLD1,81575
342618,SLFN14,,ENSG00000236320,gene,,SLFN14,342618
WP455,"GPCRs, class A rhodopsin-like","GPCRs, class A rhodopsin-like",WP455,pathway,WP455,,
64926,RASAL3,,ENSG00000105122,gene,,RASAL3,64926
1674,DES,,DES,gene,,DES,1674
4131,MAP1B,,MAP1B,gene,,MAP1B,4131
2036,EPB41L1,,ENSG00000088367,gene,,EPB41L1,2036
51629,SLC25A39,,SLC25A39,gene,,SLC25A39,51629
414371,CCR5,,414371,gene,,CCR5,414371
WP5342,Pathophysiological roles of DUX4 in FSHD1,Pathophysiological roles of DUX4 in FSHD1,WP5342,pathway,WP5342,,
110261346,GNB1,,110261346,gene,,GNB1,110261346
4036,LRP2,,LRP2,gene,,LRP2,4036
51378,ANGPT4,,ENSG00000101280,gene,,ANGPT4,51378
WP5355,Metabolic Epileptic Disorders,Metabolic Epileptic Disorders,WP5355,pathway,WP5355,,
5871,MAP4K2,,ENSG00000168067,gene,,MAP4K2,5871
59343,SENP2,,SENP2,gene,,SENP2,59343
9731,CEP104,,ENSG00000116198,gene,,CEP104,9731
56999,ADAMTS9,,ADAMTS9,gene,,ADAMTS9,56999
58508,KMT2C,,KMT2C,gene,,KMT2C,58508
661,POLR3D,,POLR3D,gene,,POLR3D,661
3632,INPP5A,,ENSG00000068383,gene,,INPP5A,3632
9459,ARHGEF6,,ARHGEF6,gene,,ARHGEF6,9459
85452,CFAP74,,ENSG00000142609,gene,,CFAP74,85452
1617,DAZ1,,DAZ1,gene,,DAZ1,1617
51411,BIN2,,BIN2,gene,,BIN2,51411
9578,CDC42BPB,,CDC42BPB,gene,,CDC42BPB,9578
54806,AHI1,,ENSG00000135541,gene,,AHI1,54806
10165,SLC25A13,,SLC25A13,gene,,SLC25A13,10165
114112,TXNRD3,,ENSG00000197763,gene,,TXNRD3,114112
250,ALPP,,ENSG00000163283,gene,,ALPP,250
594857,NPS,,ENSG00000214285,gene,,NPS,594857
5336,PLCG2,,ENSG00000197943,gene,,PLCG2,5336
4175,MCM6,,MCM6,gene,,MCM6,4175
1286,COL4A4,,ENSG00000081052,gene,,COL4A4,1286
10815,CPLX1,,CPLX1,gene,,CPLX1,10815
23314,SATB2,,ENSG00000119042,gene,,SATB2,23314
